Codigo del diagnostico,Nombre del diagnostico,Sexo del diagnostico
A000,COLERA DEBIDO A VIBRIO CHOLERAE 01. BIOTIPO CHOLERAE,A
A001,COLERA DEBIDO A VIBRIO CHOLERAE 01. BIOTIPO EL TOR,A
A009,COLERA. NO ESPECIFICADO,A
A010,FIEBRE TIFOIDEA,A
A011,FIEBRE PARATIFOIDEA A,A
A012,FIEBRE PARATIFOIDEA B,A
A013,FIEBRE PARATIFOIDEA C,A
A014,FIEBRE PARATIFOIDEA. NO ESPECIFICADA,A
A020,ENTERITIS DEBIDA A SALMONELLA,A
A021,SEPSIS DEBIDA A SALMONELLA,A
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,A
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,A
A029,INFECCION DEBIDA A SALMONELLA. NO ESPECIFICADA,A
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,A
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,A
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,A
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,A
A038,OTRAS SHIGELOSIS,A
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,A
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,A
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,A
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,A
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,A
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,A
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,A
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,A
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,A
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,A
A049,INFECCION INTESTINAL BACTERIANA. NO ESPECIFICADA,A
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,A
A051,BOTULISMO,A
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],A
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,A
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,A
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,A
A059,INTOXICACION ALIMENTARIA BACTERIANA. NO ESPECIFICADA,A
A060,DISENTERIA AMEBIANA AGUDA,A
A061,AMEBIASIS INTESTINAL CRONICA,A
A062,COLITIS AMEBIANA NO DISENTERICA,A
A063,AMEBOMA INTESTINAL,A
A064,ABSCESO AMEBIANO DEL HIGADO,A
A065,ABSCESO AMEBIANO DEL PULMON,A
A066,ABSCESO AMEBIANO DEL CEREBRO,A
A067,AMEBIASIS CUTANEA,A
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,A
A069,AMEBIASIS. NO ESPECIFICADA,A
A070,BALANTIDIASIS,A
A071,GIARDIASIS [LAMBLIASIS],A
A072,CRIPTOSPORIDIOSIS,A
A073,ISOSPORIASIS,A
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,A
A079,ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS. NO ESPECIFICADA,A
A080,ENTERITIS DEBIDA A ROTAVIRUS,A
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,A
A082,ENTERITIS DEBIDA A ADENOVIRUS,A
A083,OTRAS ENTERITIS VIRALES,A
A084,INFECCION INTESTINAL VIRAL. SIN OTRA ESPECIFICACION,A
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,A
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,A
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,A
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,A
A150,TUBERCULOSIS DEL PULMON. CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO. CON O SIN CULTIVO,A
A151,TUBERCULOSIS DEL PULMON. CONFIRMADA UNICAMENTE POR CULTIVO,A
A152,TUBERCULOSIS DEL PULMON. CONFIRMADA HISTOLOGICAMENTE,A
A153,TUBERCULOSIS DEL PULMON. CONFIRMADA POR MEDIOS NO ESPECIFICADOS,A
A154,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS. CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A
A155,TUBERCULOSIS DE LARINGE. TRAQUEA Y BRONQUIOS. CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A
A156,PLEURESIA TUBERCULOSA. CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A
A157,TUBERCULOSIS RESPIRATORIA PRIMARIA. CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A
A158,OTRAS TUBERCULOSIS RESPIRATORIAS. CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE,A
A159,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA. CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE,A
A160,TUBERCULOSIS DEL PULMON. CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS,A
A161,TUBERCULOSIS DE PULMON. SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO,A
A162,TUBERCULOSIS DE PULMON. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A163,TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A164,TUBERCULOSIS DE LARINGE. TRAQUEA Y BRONQUIOS. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A165,PLEURESIA TUBERCULOSA. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A167,TUBERCULOSIS RESPIRATORIA PRIMARIA. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A168,OTRAS TUBERCULOSIS RESPIRATORIAS. SIN MENCION DE CONFIRMACION,A
A169,TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA. SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA,A
A170,MENINGITIS TUBERCULOSA,A
A171,TUBERCULOMA MENINGEO,A
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,A
A179,TUBERCULOSIS DEL SISTEMA NERVIOSO. NO ESPECIFICADA,A
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,A
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,A
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,A
A183,TUBERCULOSIS DE LOS INTESTINOS. EL PERITONEO Y LOS GANGLIOS MESENTERICOS,A
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,A
A185,TUBERCULOSIS DEL OJO,A
A186,TUBERCULOSIS DEL OIDO,A
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES,A
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,A
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,A
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,A
A192,TUBERCULOSIS MILIAR AGUDA. NO ESPECIFICADA,A
A198,OTRAS TUBERCULOSIS MILIARES,A
A199,TUBERCULOSIS MILIAR. SIN OTRA ESPECIFICACION,A
A200,PESTE BUBONICA,A
A201,PESTE CELULOCUTANEA,A
A202,PESTE NEUMONICA,A
A203,MENINGITIS POR PESTE,A
A207,PESTE SEPTICEMICA,A
A208,OTRAS FORMAS DE PESTE,A
A209,PESTE. NO ESPECIFICADA,A
A210,TULAREMIA ULCEROGLANDULAR,A
A211,TULAREMIA OCULOGLANDULAR,A
A212,TULAREMIA PULMONAR,A
A213,TULAREMIA GASTROINTESTINAL,A
A217,TULAREMIA GENERALIZADA,A
A218,OTRAS FORMAS DE TULAREMIA,A
A219,TULAREMIA. NO ESPECIFICADA,A
A220,CARBUNCO CUTANEO,A
A221,CARBUNCO PULMONAR,A
A222,CARBUNCO GASTROINTESTINAL,A
A227,CARBUNCO SEPTICO,A
A228,OTRAS FORMAS DE CARBUNCO,A
A229,CARBUNCO. NO ESPECIFICADO,A
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,A
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,A
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,A
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,A
A238,OTRAS BRUCELOSIS,A
A239,BRUCELOSIS. NO ESPECIFICADA,A
A240,MUERMO,A
A241,MELIOIDOSIS AGUDA Y FULMINANTE,A
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,A
A243,OTRAS MELIOIDOSIS,A
