Codigo del procedimiento,Nombre del procedimiento,Sexo admitido
010101,PUNCION CISTERNAL  VIA LATERAL,Z
010102,PUNCION CISTERNAL  VIA MEDIAL,Z
010201,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,Z
010202,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR POR TREPANACION (SIN CATETER),Z
010203,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE UN RESERVORIO,Z
010204,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR  VIA TRANSFONTANELAR,Z
010901,PUNCION SUBDURAL,Z
011101,BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA,Z
011102,BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA,Z
011201,BIOPSIA DE MENINGE  POR CRANEOTOMIA,Z
011301,BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE CEREBRO,Z
011302,BIOPSIA ABIERTA (CRANEOTOMIA) DE CEREBRO,Z
011303,BIOPSIA DE CEREBRO POR TREPANACION,Z
012101,CRANEALIZACION DE SENO FRONTAL,Z
012201,RETIRO O SUSTITUCION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,Z
012202,RETIRO O SUSTITUCION DE ELECTRODO EPIDURAL,Z
012203,RETIRO O SUSTITUCION DE ELECTRODO SUBDURAL,Z
012204,RETIRO O SUSTITUCION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,Z
012205,RETIRO O SUSTITUCION DE NEUROESTIMULADOR INTRACRANEAL,Z
012206,REVISION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,Z
012207,REVISION DE ELECTRODO EPIDURAL,Z
012208,REVISION DE ELECTRODO SUBDURAL,Z
012209,REVISION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,Z
012210,REVISION DE NEUROESTIMULADOR,Z
012300,REAPERTURA DE CRANEOTOMIA SOD,Z
012401,DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL  POR CRANEOTOMIA,Z
012402,DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR  POR CRANEOTOMIA,Z
012410,EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL  POR CRANEOTOMIA,Z
012501,SECUESTRECTOMIA DE CRANEO  POR CRANIECTOMIA,Z
012502,DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL  POR CRANIECTOMIA,Z
012503,DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR  POR CRANIECTOMIA,Z
012505,CRANIECTOMIA DESCOMPRESIVA BIFRONTAL,Z
012506,CRANIECTOMIA DESCOMPRESIVA HEMISFERICA,Z
012507,CRANIECTOMIA DESCOMPRESIVA EN FOSA POSTERIOR,Z
013101,DRENAJE DE ESPACIO SUBDURAL  POR CRANEOTOMIA,Z
013102,DRENAJE DE ESPACIO SUBDURAL  POR TREPANACION,Z
013103,DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR  POR CRANIECTOMIA,Z
013104,DRENAJE DE ESPACIO SUBDURAL  POR DRENAJE EXTERNO,Z
013105,DRENAJE DE ESPACIO SUBARACNOIDEO  POR DERIVACION CISTO PERITONEAL,Z
013106,DRENAJE DE ESPACIO SUBDURAL  POR DERIVACION SUBDURO PERITONEAL,Z
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,Z
013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACION POR ESTEREOTAXIA,Z
013202,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES)  POR CRANEOTOMIA,Z
014201,PALIDOTOMIA POR ESTEREOTAXIA,Z
